type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,low
red,11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,low
red,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,low
red,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,low
red,6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,low
red,8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,low
red,9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,low
red,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,low
red,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,low
red,8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,low
red,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,low
red,9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,low
red,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,low
red,7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,low
red,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,low
red,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,low
red,7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,low
red,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,low
red,7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,medium
red,12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,medium
red,7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,medium
red,5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,medium
red,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,medium
red,7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,medium
red,8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,medium
red,6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,medium
red,7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,medium
red,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,medium
red,10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,medium
red,10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,medium
red,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,medium
red,12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,medium
red,9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,medium
red,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,high
red,13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,high
red,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,high
red,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,high
white,6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,low
white,6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,low
white,8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,low
white,6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,low
white,6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3,low
white,6.3,0.2,0.37,11.8,0.045,58,130,0.99519,3.2,0.35,10.8,low
white,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,low
white,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,low
white,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,low
white,6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,low
white,8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,low
white,5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,low
white,5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,low
white,7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,low
white,6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,low
white,8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,low
white,8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,low
white,9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,low
white,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,low
white,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,low
white,9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,low
white,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,low
white,5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,low
white,5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,low
white,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,low
white,7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,low
white,7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,low
white,6.8,0.35,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,low
white,6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,low
white,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,low
white,6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,low
white,7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,low
white,7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,low
white,6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5,low
white,6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,low
white,7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9,low
white,8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,low
white,7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,low
white,7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3,low
white,6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,low
white,6.6,0.16,0.21,6.7,0.055,43,157,0.99384,3.15,0.52,10.8,medium
white,5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,medium
white,7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,medium
white,5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,medium
white,6,0.16,0.36,1.6,0.042,13,61,0.99143,3.22,0.54,10.8,medium
white,7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,medium
white,5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,medium
white,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,medium
white,6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,medium
white,7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,medium
white,7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,medium
white,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,medium
white,7.5,0.18,0.37,6.2,0.05,21,138,0.99546,3.2,0.55,10.5,medium
white,6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,medium
white,6.5,0.22,0.5,16.4,0.048,36,182,0.99904,3.02,0.49,8.8,medium
white,7.2,0.2,0.36,2.5,0.028,22,157,0.9938,3.48,0.49,10.6,medium
white,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,medium
white,7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,medium
white,8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,medium
white,5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,medium
white,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,medium
white,6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,medium
white,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,medium
white,6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,medium
white,6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,medium
white,7.6,0.27,0.25,13.9,0.05,45,199,0.9984,3.34,0.5,9.8,medium
white,6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,medium
white,7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,medium
white,7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,medium
white,6.9,0.28,0.28,12.2,0.042,52,139,0.99522,3.03,0.56,10.4,medium
white,7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,medium
white,6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,medium
white,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,medium
white,4.4,0.46,0.1,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,medium
white,7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,medium
white,6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,medium
white,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,medium
white,7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,medium
white,5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,medium
white,8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,medium
white,6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,medium
white,6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,medium
white,6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,medium
white,6.1,0.24,0.25,1.6,0.044,24,115,0.9921,3.39,0.59,10.9,medium
white,6.2,0.21,0.24,1.2,0.051,31,95,0.99036,3.24,0.57,11.3,medium
white,5.8,0.27,0.4,1.2,0.076,47,130,0.99185,3.13,0.45,10.3,medium
white,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,medium
white,8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,medium
white,6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,medium
white,6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,medium
white,6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,medium
white,7.3,0.28,0.54,12.9,0.049,62,162.5,0.9984,3.06,0.45,9.1,medium
white,7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,medium
white,7.4,0.18,0.34,2.7,0.03,30,107,0.992,2.97,0.53,11,medium
white,7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,high
white,7.5,0.23,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1,high
white,8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,high
white,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,high
white,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,high
white,6.4,0.44,0.44,14.4,0.048,29,228,0.99955,3.26,0.54,8.8,high
white,7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,high
white,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,high
white,6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,high
white,7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,high
white,7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,high
white,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,high
white,6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,high
white,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,high
white,7.9,0.16,0.64,17,0.05,69,210,1.0004,3.15,0.51,9.3,high
white,7.3,0.13,0.31,2.3,0.054,22,104,0.9924,3.24,0.92,11.5,high
white,6.9,0.3,0.45,1.4,0.039,36,122,0.99059,3.07,0.47,11.1,high
white,6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,high
white,8.2,0.35,0.4,6.3,0.039,35,162,0.9936,3.15,0.34,11.9,high
white,7,0.22,0.28,10.6,0.039,32,117,0.99355,3.05,0.55,11.5,high
white,5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,high
white,6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,high
white,4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8,high
white,7,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11,high
white,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,high
white,6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,high
